,open,high,low,close,volume
2005-02-09,1148.1902769985663,1162.667704582846,1142.333174880168,1156.7668519846482,42441514
2005-02-10,1158.534068653278,1172.3426938295825,1135.9436511212677,1149.6463430541846,48262891
2005-02-11,1149.5242349734604,1158.4915412997318,1137.2508828510927,1146.1921963271718,41801156
2005-02-14,1144.9291342401043,1157.3095285678003,1126.3724572906501,1138.6853359241939,47815772
2005-02-15,1139.0679691331434,1171.9919171827064,1132.062180643224,1164.8276946105868,42515213
2005-02-16,1167.0297117561483,1171.11678225351,1162.8081365975424,1166.894734388845,38248128
2005-02-17,1168.063569881562,1178.8531091293419,1142.5495602840942,1153.2018198154585,35094574
2005-02-18,1151.1757046427228,1167.8878837248637,1148.2084381946897,1164.885279524826,45869372
2005-02-21,1166.615038443018,1175.0764153804023,1141.105059082853,1149.441880310447,83191244
2005-02-22,1147.9761406639943,1157.5825305258295,1142.8928804709772,1152.4793301242019,68297389
2005-02-23,1152.978775755788,1163.0947291056082,1116.8575705510716,1126.743340619524,22701526
2005-02-24,1126.0597452827112,1139.9037475746222,1094.9335075504866,1108.5623939275647,40344224
2005-02-25,1108.0771401356167,1119.1076533426888,1100.161004842213,1111.1694266644513,36337625
2005-02-28,1112.872278198974,1134.0671884194462,1100.9923860318424,1122.0889088804793,22893692
2005-03-01,1119.7545292082941,1134.3805050238182,1111.2692064532848,1125.8489993378882,57378075
2005-03-02,1130.2289911936716,1138.6586914531372,1116.9821649733856,1125.3756671996648,47654515
2005-03-03,1121.2768552991442,1135.4371657504055,1108.041039875617,1122.1905646866092,137482143
2005-03-04,1120.8491706166758,1133.626468601836,1090.6060230496166,1103.1819204125034,42309550
2005-03-07,1103.9987425399145,1115.4339666508122,1082.3063869372943,1093.6342556447173,33917639
2005-03-08,1094.9123076216617,1100.8933290958187,1082.0598748597797,1088.0031546885339,32315721
2005-03-09,1087.7845188866306,1111.2550467309516,1079.1365404165397,1102.4901571986939,39894069
2005-03-10,1102.363611828346,1113.9184859689558,1097.1395411709227,1108.6645553146786,67167286
2005-03-11,1109.574879970247,1117.2744053396905,1079.0872988916872,1086.6275891785779,71126291
2005-03-14,1086.1254162401328,1098.6469740539403,1078.1509415235598,1090.6393573916523,215961829
2005-03-15,1093.6782740154206,1105.507936137804,1074.9262318291353,1086.680199980719,27350429
2005-03-16,1088.5044081073324,1100.9789773820555,1066.1947499460373,1078.5552996153451,52203024
2005-03-17,1080.4380782741662,1094.1869133301536,1073.2572700441851,1086.9627408834676,35512410
2005-03-18,1084.8623881631522,1104.7521772967425,1081.9581633271118,1101.8026027532394,59577196
2005-03-21,1101.627662007962,1128.238235286406,1089.3800538498745,1115.8326992404354,99843263
2005-03-22,1115.1621597792537,1119.8935550539125,1101.5421880693636,1106.235710322229,76944062
2005-03-23,1104.0108460179551,1113.6365174637795,1092.931464838649,1102.5443501716884,27336443
2005-03-24,1103.3385441439757,1110.6823195956233,1100.3046842143062,1107.636641149915,70411160
2005-03-25,1106.4456088673635,1129.1211644060108,1099.2591729925339,1121.8347749013021,17380477
2005-03-28,1123.305284517161,1137.188891905357,1103.2006922318262,1117.0064485074467,15211676
2005-03-29,1114.6156267536642,1119.082915316495,1110.706741073736,1115.172078196962,44145797
2005-03-30,1119.0061303824175,1126.54479805326,1093.83601508433,1101.2550952470565,67854324
2005-03-31,1099.2809134324348,1105.4055564940713,1079.6976599437546,1085.746898246524,59508635
2005-04-01,1086.2231119113114,1109.1500542884098,1073.6762777521255,1096.484689861054,129660192
2005-04-04,1098.221213081783,1128.407655450339,1085.9283825702119,1115.9167516779507,52809256
2005-04-05,1114.6431772474607,1122.272474835507,1109.207076290187,1116.825729597479,47398645
2005-04-06,1118.729847426801,1135.053746065037,1115.0247508020354,1131.3069954620196,89087534
2005-04-07,1128.525827456222,1147.8498812972364,1118.6270941367077,1137.8691937248818,41469435
2005-04-08,1141.1738337160068,1147.8653200251213,1123.6970552980474,1130.324927012672,60727531
2005-04-11,1130.3569135464516,1146.2409666402623,1119.9340688885034,1135.76822512294,62584089
2005-04-12,1134.4134548703962,1161.396480196567,1131.2130503987155,1158.1291690100056,30757657
2005-04-13,1157.436186735037,1164.1340419418655,1152.9985852474274,1159.6878077564804,60688632
2005-04-14,1161.5639953848286,1193.7671294079066,1150.6874326661605,1182.6927231493137,149087960
2005-04-15,1181.3102611079585,1186.772293103399,1142.8265069051456,1148.135146907661,88265371
2005-04-18,1146.4144191059972,1171.5575391917785,1133.7168742868162,1158.7236587513057,32864013
2005-04-19,1158.2102593575066,1164.979897778622,1154.6361280366054,1161.3959357506596,160991002
2005-04-20,1158.6620977220525,1164.055461028314,1152.9041161783955,1158.2957743151994,70573720
2005-04-21,1162.513230946248,1177.0279090312224,1145.857249103738,1160.344853692282,61815106
2005-04-22,1159.0304275941317,1166.9474874667367,1126.2579608339488,1134.0040716497494,47627590
2005-04-25,1135.8901852929112,1146.7148287343261,1119.8505693231066,1130.6250377159786,70342476
2005-04-26,1131.098701958428,1141.135762856104,1126.2048558289523,1136.2197598016305,52874190
2005-04-27,1133.9824657169202,1167.7165987848848,1124.2317050340023,1157.7613707322184,50493531
2005-04-28,1157.7475824676176,1169.0484268764842,1141.3355477007597,1152.5860096844667,46780599
2005-04-29,1154.3932709544415,1160.9095512549945,1135.668463405333,1142.115438208645,81361848
2005-05-02,1141.6854058542053,1154.0030167258165,1123.3970949485708,1135.6495855290093,76975936
2005-05-03,1138.3595019738993,1158.5899799207948,1128.6445418778446,1148.7860379340304,46401226
2005-05-04,1151.1330431755555,1162.2952565331423,1143.7758870253388,1154.9139358280147,23395196
2005-05-05,1157.0364709709834,1166.3811880169867,1139.5409347090806,1148.819286288045,50909830
2005-05-06,1147.7631611579247,1166.0978218088896,1138.273904720178,1156.5360346876048,34920876
2005-05-09,1154.0382812823157,1164.0156184670377,1149.24284493239,1159.1987385957104,39457863
2005-05-10,1157.7761986394014,1181.4870534667039,1150.2190186202668,1173.8251169626599,46974119
2005-05-11,1174.2858220529217,1181.2543933117597,1158.7224501044252,1165.6397127057235,29425599
2005-05-12,1166.9120940416444,1174.5075566318667,1154.027400576796,1161.5882098599325,22351064
2005-05-13,1156.543266378655,1168.5564181518232,1144.8493349518872,1156.8592913629766,57859034
2005-05-16,1156.840519697642,1165.3148208175644,1129.065535019093,1137.397407877325,50675257
2005-05-17,1137.7570284275168,1154.9772985923441,1124.214122733529,1141.3911355344367,49715585
2005-05-18,1140.7575624266826,1152.3205411804724,1134.555532626166,1146.089522769204,64547817
2005-05-19,1149.049353605048,1156.6986162682567,1139.6750724888618,1147.3127746840537,35954493
2005-05-20,1148.280602018644,1160.187775924686,1133.1904663827868,1145.0642885068216,59042629
2005-05-23,1148.0647964368898,1157.2036745637852,1117.6029298032759,1126.5707097137454,97585998
2005-05-24,1126.0841201203832,1135.0593275101587,1111.9488135339136,1120.8825630497843,44021142
2005-05-25,1122.9841673989897,1126.3906294029,1113.505000247475,1116.8929852495244,129245653
2005-05-26,1120.5453736224542,1127.8132271363768,1099.7006179656296,1106.8798368541643,51265613
2005-05-27,1109.7836109164314,1115.5626285353612,1099.3712742637672,1105.1260383311333,32649625
2005-05-30,1102.7121301062482,1125.181851555741,1088.9355601611117,1111.298015133355,76467439
2005-05-31,1110.7341956904356,1144.3186937984399,1104.5323549875511,1137.9648095821267,47263708
2005-06-01,1137.1792390055034,1155.5807999103574,1124.2779799445907,1142.6178401083912,84630798
2005-06-02,1143.7359020286553,1157.932768141157,1133.1422342642963,1147.3060326228497,61479030
2005-06-03,1148.8809477712105,1155.6698738136722,1140.6534526795153,1147.4338274505415,42440730
2005-06-06,1145.5086797869862,1154.5986849683557,1113.3141780697115,1122.219374608001,106968080
2005-06-07,1122.3716339973255,1134.6114993724382,1109.2830437905018,1121.5135514677502,38952283
2005-06-08,1116.9827997157638,1135.9171669394511,1104.323270769327,1123.1873179502988,16932138
2005-06-09,1126.4264666376957,1162.6472003131325,1121.8036814121665,1157.8952690499657,77657865
2005-06-10,1156.7087176314405,1164.7374483277285,1149.8890737102722,1157.9107177367816,59560285
2005-06-13,1158.0400886461434,1169.8454955405073,1151.2629696112203,1163.039121009408,95000542
2005-06-14,1162.318851547053,1167.1409470317662,1158.9243598273003,1163.742298210109,32174881
2005-06-15,1166.4096597380255,1176.3035869064836,1138.7469126096635,1148.488828520858,44187731
2005-06-16,1141.9711396232565,1177.3766776657274,1129.3544134733154,1164.5109274203026,41762638
2005-06-17,1164.4722415700091,1184.2539313656746,1157.1177331389154,1176.8214286319924,79750582
2005-06-20,1176.5723690692435,1201.399287028909,1164.923879696706,1189.6216055249145,69230955
2005-06-21,1188.5422942294517,1198.9741348617233,1167.9473292497946,1178.2891782406252,55668986
2005-06-22,1182.3571663564535,1206.17654801119,1174.9597636961335,1198.6770402661202,55848650
2005-06-23,1196.5497973671559,1201.2290226055654,1176.0198778780282,1180.6368740705004,28121584
2005-06-24,1182.4592961227227,1200.4369243152798,1171.1156820456506,1189.030273286911,73432313
2005-06-27,1189.87746398834,1235.607612630053,1176.7344919680434,1222.1086264160351,74186598
2005-06-28,1225.1920535378622,1236.6580684114424,1198.967398974373,1210.2939896477567,157209072
2005-06-29,1208.678999769227,1211.916790750656,1199.2539104839782,1202.4750825058914,63270266
2005-06-30,1200.7123288309951,1210.102718029903,1195.1142129869768,1204.487003411335,68597243
2005-07-01,1207.1274073281086,1210.9839377865653,1194.4618134208722,1198.2901104847097,63486264
2005-07-04,1199.3094271198104,1209.1483949508086,1167.181732824267,1176.8363345274931,35292505
2005-07-05,1173.2000577192177,1189.5364484320396,1161.3920610101309,1177.6833286022334,93384345
2005-07-06,1176.4130675531035,1180.6549682286561,1159.5421721308808,1163.738370486788,48625589
2005-07-07,1164.6376671267349,1183.3503115322962,1151.9624749225181,1170.6101188768662,45401428
2005-07-08,1172.571509426817,1182.0166782133576,1149.6972653418607,1159.0333833069994,46740743
2005-07-11,1157.4588813029673,1192.25256853247,1146.5791264904371,1181.1501233857698,48378292
2005-07-12,1174.26577574187,1188.6082796343596,1157.8276065715781,1172.144197467809,39205555
2005-07-13,1173.3707835100936,1177.2860987363197,1164.2125026299757,1168.1102645043968,55681185
2005-07-14,1165.2593262565754,1193.8980164883858,1151.8445809627206,1180.3100041747164,47642192
2005-07-15,1175.547833844249,1179.9691009399587,1160.1602265520191,1164.5400932385437,45657519
2005-07-18,1157.9433790450178,1175.3808479278116,1150.4982801135814,1167.8719126154147,63875474
2005-07-19,1169.7731633834778,1200.5333864105064,1156.8888291026756,1187.4543051918731,51931074
2005-07-20,1187.7597598822854,1201.4932824281918,1153.1801772349047,1166.66984676689,37900148
2005-07-21,1166.1433137766749,1178.0038443112937,1157.3229360783275,1169.1606443789733,34132592
2005-07-22,1172.4086296174926,1183.7850108230703,1162.51227399535,1173.8762668073352,52521564
2005-07-25,1175.3725474466378,1197.4931371599637,1164.1107467116747,1186.128280653958,34422385
2005-07-26,1189.9625590353473,1202.8469817946443,1157.5243851395091,1170.1947704543843,33205553
2005-07-27,1166.935226922072,1171.270521631357,1147.6616030967552,1151.9411932963567,33441065
2005-07-28,1151.8615927223834,1171.4831872183627,1139.6510615046532,1159.1949176735525,56798809
2005-07-29,1155.4467458184033,1173.1466197342916,1146.9972393343708,1164.6299586052978,90812254
2005-08-01,1164.0956675339905,1177.5370450041544,1155.939740596578,1169.3443446056694,59495657
2005-08-02,1168.7629095205068,1183.3139837223982,1160.8866191718153,1175.393013121979,77900616
2005-08-03,1176.8660477043109,1185.800951081309,1158.2139960112088,1167.074561288974,48287467
2005-08-04,1167.1809141821627,1184.8448440615043,1153.2325122081127,1170.8525640157986,53685105
2005-08-05,1172.31239970836,1185.4956847511612,1162.9549579049778,1176.1079467481093,114265060
2005-08-08,1177.7625898094018,1191.9331647440547,1153.2195044116659,1167.2637597816445,75669524
2005-08-09,1172.2945000816915,1199.3357870383588,1167.25023254609,1194.1972740281346,79880867
2005-08-10,1193.4442212156289,1215.0619098665904,1181.8184516694685,1203.3397444681339,43812566
2005-08-11,1201.0750044358167,1213.8332980212808,1175.0459852283645,1187.6617984363068,49868478
2005-08-12,1188.2463266545715,1208.3524454636163,1177.2059874463464,1197.2286489095964,61243347
2005-08-15,1195.3076236437175,1205.550480987967,1174.577188518045,1184.7293986958637,36922537
2005-08-16,1188.240843676025,1206.049048151623,1178.5589054116665,1196.3014311899703,15339534
2005-08-17,1195.6238028993123,1228.1044294969518,1182.3412536159371,1214.6109462503196,60962351
2005-08-18,1213.2370357555992,1226.2386491648135,1191.6760791078773,1204.5849729807808,80858947
2005-08-19,1203.4494933103242,1223.5997614443759,1198.9691865816249,1219.0613335951273,51399265
2005-08-22,1220.812923399798,1240.3056101737618,1207.40122330789,1226.8278310488397,37116784
2005-08-23,1226.440774270255,1248.612367297568,1218.2963659523039,1240.3754233478633,42379931
2005-08-24,1238.7836078405282,1277.0452976483964,1232.5438940773276,1270.6450985664203,18135774
2005-08-25,1274.8772410694532,1289.1529156957122,1255.2374343705762,1269.4523629164244,42326357
2005-08-26,1267.2786292618528,1275.9217837938772,1250.3833630306,1258.969849624954,28630729
2005-08-29,1259.059402854708,1272.3848430028734,1232.8949134495044,1246.0830161022207,35240718
2005-08-30,1247.7086713358617,1254.1144527211864,1227.9592217289282,1234.296142707822,27915479
2005-08-31,1230.2690414393187,1236.6876169579245,1227.1450276107241,1233.5552584607472,26351739
2005-09-01,1234.7401141946277,1248.8101277016767,1225.5356305049036,1239.5696418540417,30264239
2005-09-02,1236.9538829672163,1249.35060449906,1232.6217209474237,1244.990296687598,68609590
2005-09-05,1247.039009844438,1271.3327570782344,1234.5140498735445,1258.6907696336227,38749898
2005-09-06,1256.267409747461,1267.2159291296134,1249.6584992622363,1260.5843085133322,28733405
2005-09-07,1262.3308960552777,1292.7935651285222,1253.5747927490595,1283.8879323783126,72895728
2005-09-08,1286.727463836394,1291.064167280774,1277.693999026787,1282.014819277199,53330535
2005-09-09,1284.2235680606548,1332.6296776669167,1277.331663511918,1325.516172537331,15335804
2005-09-12,1326.1824211006658,1352.6159717409898,1312.502978819202,1338.8063152233317,82255904
2005-09-13,1338.186980897109,1343.5609780510424,1321.4998946106434,1326.828276581095,51834694
2005-09-14,1325.298656994983,1337.1887006097006,1298.5901729607965,1310.3460679936527,73494455
2005-09-15,1314.2011970396416,1333.5740348645681,1298.8588725075344,1318.1852000513263,44674900
2005-09-16,1316.341071557863,1328.5808947249968,1303.8621630952105,1316.099742294138,111538332
2005-09-19,1313.369977509803,1342.4761548929641,1299.4348371877716,1328.3817365515554,41308929
2005-09-20,1330.1494644342883,1342.438913209134,1325.3746052296312,1337.637175246975,13384582
2005-09-21,1335.5072908779257,1344.7024966686224,1328.819980833922,1338.0026913602178,32051304
2005-09-22,1335.4603163270722,1350.7451785036906,1310.3820270111462,1325.5535018470212,64269974
2005-09-23,1321.7263524770203,1334.4824077014457,1289.5413598601624,1302.108078016474,54139620
2005-09-26,1300.8504764106438,1312.4222415990023,1283.510307887911,1295.0302994695883,47029068
2005-09-27,1294.8160625452535,1321.0601078494562,1282.9844640717542,1309.0980057298643,30533668
2005-09-28,1309.7344675216443,1322.954823438328,1301.0352039284467,1314.2257288624096,50462606
2005-09-29,1316.7261911469814,1320.6046954632513,1292.1976601604924,1296.0151587573823,49641898
2005-09-30,1297.3808941497596,1312.2799886180517,1283.9602472217857,1298.8442045989025,49387555
2005-10-03,1298.3483780465315,1318.1798734957115,1286.290444807426,1306.050410462105,65421965
2005-10-04,1305.5327033731298,1314.9691520335623,1284.3126701056965,1293.6633263793556,54757122
2005-10-05,1294.9832703957836,1311.377618313658,1280.0940757269977,1296.4713147122627,44074226
2005-10-06,1299.771016136654,1307.389749570414,1290.9446960925004,1298.5563094053537,30287666
2005-10-07,1298.8843616067663,1305.9544716194112,1275.0172814785126,1281.995461535709,98693653
2005-10-10,1280.7926142837807,1302.1736405113918,1266.4119218787134,1287.7152213288232,134669510
2005-10-11,1285.1581640041477,1311.3235192814627,1271.702716682897,1297.7363795957785,119597019
2005-10-12,1293.9853887005563,1326.3441550736045,1284.0866617242575,1316.2749177005671,70920777
2005-10-13,1318.028905816038,1340.1220183295395,1313.0107118955002,1335.0390608395912,21638683
2005-10-14,1336.5823086503617,1342.7983716605436,1309.0146739317668,1315.1309728991214,20355588
2005-10-17,1316.6495902081012,1328.5814373301698,1288.69174508928,1300.477031961755,38008566
2005-10-18,1300.1423946519035,1317.164929000713,1291.885954295218,1308.8531716181556,48649777
2005-10-19,1312.5361136269958,1332.749213815708,1298.275760621504,1318.4248809321264,47660809
2005-10-20,1317.1483331949664,1344.0813554253102,1301.3431457904578,1328.144222298681,55086182
2005-10-21,1330.6816929349538,1407.3151056117747,1316.634525626459,1392.6141563507306,24923216
2005-10-24,1392.5062485426897,1415.4665608119376,1383.767639315033,1406.63926051452,111690614
2005-10-25,1404.927800374996,1442.6251426717095,1390.3350059720012,1427.7948315194494,106127621
2005-10-26,1429.4868549400633,1455.16892388973,1420.8893252776684,1446.4692549962415,25954527
2005-10-27,1447.654307099066,1466.0245248945032,1441.616139713613,1459.935134168565,19712466
2005-10-28,1460.9774483149547,1465.1177591281019,1452.1339158410894,1456.2608601639151,47805960
2005-10-31,1456.4975853335477,1479.9240614648675,1447.2383867626215,1470.5753680762598,93978708
2005-11-01,1470.4639188110732,1487.4265921540298,1442.0507985844658,1458.8798427401591,49201923
2005-11-02,1465.8485382548868,1473.0163410037658,1448.2066321411692,1455.3229662546828,56940146
2005-11-03,1458.7699180420702,1465.4293947639676,1441.2428713792792,1447.8525086902162,40131727
2005-11-04,1449.9456021567232,1467.7505758080654,1432.258864326927,1450.0624130941749,53794031
2005-11-07,1450.3866446084273,1496.3144135384339,1446.3980216835184,1492.2107725415449,80178994
2005-11-08,1495.216554190291,1510.7037403683264,1447.2603406208034,1462.407698528142,61441014
2005-11-09,1463.9227376257265,1482.615885601927,1455.5583229276738,1474.192790904998,66671486
2005-11-10,1474.2700526202518,1478.508401473271,1443.51381251041,1447.675705819168,21767233
2005-11-11,1446.7967804214861,1463.6925099749187,1422.5368812966349,1439.3455957259168,145643836
2005-11-14,1439.1126596987515,1464.7085557974967,1433.5052675971601,1459.0235823130647,21898016
2005-11-15,1449.772130483828,1474.0350282913603,1438.14815788038,1462.3105254346847,54067540
2005-11-16,1462.9264530826254,1470.592980711605,1437.2664234400925,1444.8381586007874,46376790
2005-11-17,1443.426620840573,1447.97619765428,1428.258318542167,1432.7743200705802,47397513
2005-11-18,1437.3381934183533,1449.390791806667,1433.0272929812638,1445.0567417076911,77241420
2005-11-21,1445.1126482675681,1450.3953543590414,1428.9625920801038,1434.205426090251,35097068
2005-11-22,1430.7949905148114,1443.1671759042852,1426.196887378915,1438.5441694634007,40272513
2005-11-23,1438.400659853615,1455.2596861827233,1423.8647852517722,1440.7005696557255,28183040
2005-11-24,1437.6862751693686,1448.261409504382,1420.2065860639243,1430.730556483156,87628162
2005-11-25,1432.0851933938072,1477.389560709239,1423.5944735407954,1468.6818621017608,57114939
2005-11-28,1469.5364803354241,1492.9332251920218,1459.714555377814,1483.0211727427345,68760678
2005-11-29,1485.8621656487858,1503.3796891458107,1432.1916830588475,1449.2778975210474,75039521
2005-11-30,1446.9854825205377,1468.8690555045212,1430.1895723021228,1452.0147677664468,135331779
2005-12-01,1452.1135282823404,1466.136247089641,1427.8949381795221,1441.8182377879582,124026582
2005-12-02,1437.8820111487098,1473.8304476780536,1421.5666173600887,1457.2947806153254,58764845
2005-12-05,1459.339349983981,1467.652447806975,1437.1940744745984,1445.4279261460904,54109206
2005-12-06,1446.9279079346516,1456.0596049022436,1434.8906875086893,1444.0039309850622,38319238
2005-12-07,1445.435819783794,1466.4292475735895,1432.9514145274368,1453.8719781894024,72537371
2005-12-08,1453.876685918046,1483.5802242053405,1441.1752419481604,1470.7315319273405,71206170
2005-12-09,1471.9515710654841,1482.7218383265904,1441.0743928062602,1451.6964534042502,34720397
2005-12-12,1456.3544801914288,1465.8303649178722,1436.686805622555,1446.0959423675122,71658693
2005-12-13,1445.2713950709106,1463.1375555060895,1420.9647094056602,1438.7502568136094,82781139
2005-12-14,1439.1492084009471,1454.564275587216,1412.9945740098315,1428.2933616568087,28536948
2005-12-15,1425.1907476907252,1469.5077027824966,1415.4284732869112,1459.510345926771,54980577
2005-12-16,1456.9758742139368,1483.7420297080967,1442.7369586000486,1469.3818712187538,48383484
2005-12-19,1469.669321378025,1477.3051601893887,1441.4349188782087,1448.9631764925982,49865518
2005-12-20,1452.1622946095301,1470.2882817683953,1447.0772676866234,1465.157748751279,31053030
2005-12-21,1464.406765080262,1514.0539057952594,1455.584724387125,1504.9873947983365,20060347
2005-12-22,1504.2772919926579,1536.9865101884307,1494.454770437513,1527.0155142268648,34271525
2005-12-23,1525.7728740651285,1529.8396252109883,1497.714605671018,1501.7172396205344,31953887
2005-12-26,1500.1111329973164,1516.0841963571215,1477.0666986776444,1492.963656277013,59658374
2005-12-27,1493.8444196030375,1525.84332514287,1484.7440179568569,1516.6042719776299,60146278
2005-12-28,1512.0627772957716,1524.6192212764356,1493.6584535297725,1506.1659290110717,58458618
2005-12-29,1510.0245441060663,1519.805255906728,1505.1326204644065,1514.8975455343257,24869885
2005-12-30,1512.8814523219655,1537.2166433200448,1506.4517541268415,1530.7111693927943,28566760
2006-01-02,1532.9212208495617,1550.3918278177987,1498.5022810579514,1515.7775021397651,36733408
2006-01-03,1511.9274315364078,1528.1750211841565,1498.944699251166,1515.1644926587867,50581935
2006-01-04,1517.1912982929246,1535.401903456909,1440.993951693182,1458.5000957137554,42286556
2006-01-05,1460.460158263379,1478.6976549919643,1421.1182023823342,1439.0888245741253,58401557
2006-01-06,1440.194626390529,1449.1506223552221,1425.9972541433094,1434.9204521218123,81431173
2006-01-09,1432.0666004736047,1439.925825856717,1406.7580943836433,1414.521029133631,30337243
2006-01-10,1415.2270114575683,1458.6138696199882,1399.5412571818313,1442.6244541294388,30919521
2006-01-11,1439.2110425640249,1457.181196100664,1402.8715256001663,1420.6094171158447,53501141
2006-01-12,1419.8912613948637,1432.3812104113563,1400.740718339473,1413.1715580747436,47990721
2006-01-13,1416.0810327063027,1430.9521965223787,1401.2809931697275,1416.1514213256785,72508571
2006-01-16,1418.4079224584666,1457.0416641383006,1403.7735574573937,1442.162215205519,50189775
2006-01-17,1442.2060077376138,1450.9362533767774,1411.356666717769,1419.952201229549,119376649
2006-01-18,1417.1838437430397,1451.8143896691888,1405.5024170852769,1439.9453466845775,22603067
2006-01-19,1441.8045687286215,1457.9034233090226,1426.1890042675416,1442.2826806238743,76106329
2006-01-20,1442.3385870707962,1455.869365498775,1413.2678196408604,1426.6514347158068,55239932
2006-01-23,1420.030871561389,1438.8416840009932,1416.1802616903408,1434.9506171786925,24792035
2006-01-24,1437.196687483283,1448.3993989709293,1428.764573044611,1439.9511240965014,17779451
2006-01-25,1439.88133590376,1445.561317833702,1425.3650375819925,1431.0100243438617,28488869
2006-01-26,1434.451463923159,1441.3794658896547,1425.988524317941,1432.9090769841182,91520854
2006-01-27,1429.7702308477124,1446.2910754174611,1411.040072469727,1427.5350902247706,86456274
2006-01-30,1418.4653778955942,1434.4599037317143,1414.395895920889,1430.3563074780482,46884951
2006-01-31,1431.1546861922468,1449.8424133783892,1424.4311112872392,1443.0628936300568,41716073
2006-02-01,1443.904383075957,1480.8590757992276,1435.8247366726393,1472.6187525844523,32588990
2006-02-02,1467.6393230979008,1480.362054623752,1440.9398601325352,1453.5403700803631,45528037
2006-02-03,1450.6957928963184,1503.141194500783,1439.3208626662138,1491.446735441456,39446375
2006-02-06,1499.6652564600588,1506.6877312010163,1453.1230756909274,1459.9596210583256,117565312
2006-02-07,1459.0672627454628,1465.1113185461634,1450.8788140239446,1456.9139499186106,26943584
2006-02-08,1459.043838577612,1475.4042596513668,1451.9412418475204,1468.2568143363537,60839658
2006-02-09,1466.3461428856567,1486.0664326360504,1455.311453730445,1474.9668699556005,120368596
2006-02-10,1468.8006149076393,1476.4556774289276,1457.854320595382,1465.4921400808269,73649283
2006-02-13,1464.9931158359002,1482.5379100395319,1445.0199316019755,1462.5352908318737,28499446
2006-02-14,1461.758378746225,1472.1933634334164,1444.5389146195969,1454.925119042272,23123696
2006-02-15,1453.761533254278,1458.2506909590254,1440.987251660082,1445.4507459847978,57352911
2006-02-16,1445.1193306223918,1475.2608156808956,1430.9677624933554,1460.9541821702371,53908308
2006-02-17,1461.7263498435882,1477.6886586009584,1453.2652157410093,1469.1843541916164,92594297
2006-02-20,1468.7432552394544,1482.013187990895,1445.4163330361307,1458.5945735719556,65775467
2006-02-21,1454.9072284968966,1482.8839663159831,1447.2021217184413,1475.0720676843662,39236327
2006-02-22,1476.506382895898,1494.706784295758,1464.3880491619868,1482.5389387373123,37927090
2006-02-23,1476.7588996706318,1513.9657984214632,1461.6641715876813,1498.6473371267914,26022047
2006-02-24,1492.5018116397573,1529.8505561128538,1474.9200098274976,1512.0386091184323,53340995
2006-02-27,1514.2739480126243,1522.0138132019954,1491.2747454925764,1498.9362153670552,24774103
2006-02-28,1500.4561974627131,1509.231719830269,1480.7261326344942,1489.4372096861086,78808288
2006-03-01,1489.266236101299,1514.3181474434455,1478.628907468171,1503.578590469116,67127957
